"","avg_temp","full_date","year","date","tooltip"
"131",22,"June 09, 1877",1877,"06-09","June 09, 1877 :  22 ° C"
"132",20.6,"June 10, 1877",1877,"06-10","June 10, 1877 :  20.6 ° C"
"133",17.9,"June 11, 1877",1877,"06-11","June 11, 1877 :  17.9 ° C"
"134",21.6,"June 12, 1877",1877,"06-12","June 12, 1877 :  21.6 ° C"
"135",20,"June 13, 1877",1877,"06-13","June 13, 1877 :  20 ° C"
"136",18.7,"June 14, 1877",1877,"06-14","June 14, 1877 :  18.7 ° C"
"137",20.1,"June 15, 1877",1877,"06-15","June 15, 1877 :  20.1 ° C"
"138",19.9,"June 16, 1877",1877,"06-16","June 16, 1877 :  19.9 ° C"
"139",20.3,"June 17, 1877",1877,"06-17","June 17, 1877 :  20.3 ° C"
"140",20.4,"June 18, 1877",1877,"06-18","June 18, 1877 :  20.4 ° C"
"141",21.1,"June 19, 1877",1877,"06-19","June 19, 1877 :  21.1 ° C"
"142",23.1,"June 20, 1877",1877,"06-20","June 20, 1877 :  23.1 ° C"
"143",24.7,"June 21, 1877",1877,"06-21","June 21, 1877 :  24.7 ° C"
"144",24.7,"June 22, 1877",1877,"06-22","June 22, 1877 :  24.7 ° C"
"145",24.9,"June 23, 1877",1877,"06-23","June 23, 1877 :  24.9 ° C"
"146",24.9,"June 24, 1877",1877,"06-24","June 24, 1877 :  24.9 ° C"
"147",24.7,"June 25, 1877",1877,"06-25","June 25, 1877 :  24.7 ° C"
"148",26.4,"June 26, 1877",1877,"06-26","June 26, 1877 :  26.4 ° C"
"149",25.6,"June 27, 1877",1877,"06-27","June 27, 1877 :  25.6 ° C"
"150",26.4,"June 28, 1877",1877,"06-28","June 28, 1877 :  26.4 ° C"
"151",25.6,"June 29, 1877",1877,"06-29","June 29, 1877 :  25.6 ° C"
"152",24.4,"June 30, 1877",1877,"06-30","June 30, 1877 :  24.4 ° C"
"153",26.7,"July 01, 1877",1877,"07-01","July 01, 1877 :  26.7 ° C"
"154",27.6,"July 02, 1877",1877,"07-02","July 02, 1877 :  27.6 ° C"
