"","avg_temp","full_date","year","date","tooltip"
"2064",16.6,"September 20, 1892",1892,"09-20","September 20, 1892 :  16.6 ° C"
"2065",15.2,"September 21, 1892",1892,"09-21","September 21, 1892 :  15.2 ° C"
"2066",14.9,"September 22, 1892",1892,"09-22","September 22, 1892 :  14.9 ° C"
"2067",15.6,"September 23, 1892",1892,"09-23","September 23, 1892 :  15.6 ° C"
"2068",19,"September 24, 1892",1892,"09-24","September 24, 1892 :  19 ° C"
"2069",18.3,"September 25, 1892",1892,"09-25","September 25, 1892 :  18.3 ° C"
"2070",18.7,"September 26, 1892",1892,"09-26","September 26, 1892 :  18.7 ° C"
"2071",17.5,"September 27, 1892",1892,"09-27","September 27, 1892 :  17.5 ° C"
"2072",20.9,"September 28, 1892",1892,"09-28","September 28, 1892 :  20.9 ° C"
"2073",18.2,"September 29, 1892",1892,"09-29","September 29, 1892 :  18.2 ° C"
"2074",18.7,"September 30, 1892",1892,"09-30","September 30, 1892 :  18.7 ° C"
"2075",17.1,"June 01, 1893",1893,"06-01","June 01, 1893 :  17.1 ° C"
"2076",13.8,"June 02, 1893",1893,"06-02","June 02, 1893 :  13.8 ° C"
"2077",18,"June 03, 1893",1893,"06-03","June 03, 1893 :  18 ° C"
"2078",19.2,"June 04, 1893",1893,"06-04","June 04, 1893 :  19.2 ° C"
"2079",17.7,"June 05, 1893",1893,"06-05","June 05, 1893 :  17.7 ° C"
"2080",19.6,"June 06, 1893",1893,"06-06","June 06, 1893 :  19.6 ° C"
"2081",18.7,"June 07, 1893",1893,"06-07","June 07, 1893 :  18.7 ° C"
"2082",18.2,"June 08, 1893",1893,"06-08","June 08, 1893 :  18.2 ° C"
"2083",18.6,"June 09, 1893",1893,"06-09","June 09, 1893 :  18.6 ° C"
"2084",16.8,"June 10, 1893",1893,"06-10","June 10, 1893 :  16.8 ° C"
"2085",18.1,"June 11, 1893",1893,"06-11","June 11, 1893 :  18.1 ° C"
"2086",20.3,"June 12, 1893",1893,"06-12","June 12, 1893 :  20.3 ° C"
"2087",22.1,"June 13, 1893",1893,"06-13","June 13, 1893 :  22.1 ° C"
"2088",20.8,"June 14, 1893",1893,"06-14","June 14, 1893 :  20.8 ° C"
"2089",18.6,"June 15, 1893",1893,"06-15","June 15, 1893 :  18.6 ° C"
"2090",17.9,"June 16, 1893",1893,"06-16","June 16, 1893 :  17.9 ° C"
"2091",20.1,"June 17, 1893",1893,"06-17","June 17, 1893 :  20.1 ° C"
"2092",20.6,"June 18, 1893",1893,"06-18","June 18, 1893 :  20.6 ° C"
"2093",22.4,"June 19, 1893",1893,"06-19","June 19, 1893 :  22.4 ° C"
"2094",24.6,"June 20, 1893",1893,"06-20","June 20, 1893 :  24.6 ° C"
"2095",22.6,"June 21, 1893",1893,"06-21","June 21, 1893 :  22.6 ° C"
"2096",20.5,"June 22, 1893",1893,"06-22","June 22, 1893 :  20.5 ° C"
"2097",23,"June 23, 1893",1893,"06-23","June 23, 1893 :  23 ° C"
"2098",24,"June 24, 1893",1893,"06-24","June 24, 1893 :  24 ° C"
"2099",24.9,"June 25, 1893",1893,"06-25","June 25, 1893 :  24.9 ° C"
"2100",23.1,"June 26, 1893",1893,"06-26","June 26, 1893 :  23.1 ° C"
"2101",22.2,"June 27, 1893",1893,"06-27","June 27, 1893 :  22.2 ° C"
"2102",23.2,"June 28, 1893",1893,"06-28","June 28, 1893 :  23.2 ° C"
"2103",22.7,"June 29, 1893",1893,"06-29","June 29, 1893 :  22.7 ° C"
"2104",24.3,"June 30, 1893",1893,"06-30","June 30, 1893 :  24.3 ° C"
"2105",25.2,"July 01, 1893",1893,"07-01","July 01, 1893 :  25.2 ° C"
"2106",26.8,"July 02, 1893",1893,"07-02","July 02, 1893 :  26.8 ° C"
"2107",27.3,"July 03, 1893",1893,"07-03","July 03, 1893 :  27.3 ° C"
"2108",25.6,"July 04, 1893",1893,"07-04","July 04, 1893 :  25.6 ° C"
"2109",24.3,"July 05, 1893",1893,"07-05","July 05, 1893 :  24.3 ° C"
"2110",23.7,"July 06, 1893",1893,"07-06","July 06, 1893 :  23.7 ° C"
"2111",22.4,"July 07, 1893",1893,"07-07","July 07, 1893 :  22.4 ° C"
"2112",22,"July 08, 1893",1893,"07-08","July 08, 1893 :  22 ° C"
"2113",24,"July 09, 1893",1893,"07-09","July 09, 1893 :  24 ° C"
"2114",24.9,"July 10, 1893",1893,"07-10","July 10, 1893 :  24.9 ° C"
"2115",27,"July 11, 1893",1893,"07-11","July 11, 1893 :  27 ° C"
"2116",27.3,"July 12, 1893",1893,"07-12","July 12, 1893 :  27.3 ° C"
"2117",26.2,"July 13, 1893",1893,"07-13","July 13, 1893 :  26.2 ° C"
"2118",25.3,"July 14, 1893",1893,"07-14","July 14, 1893 :  25.3 ° C"
"2119",26.3,"July 15, 1893",1893,"07-15","July 15, 1893 :  26.3 ° C"
"2120",27.9,"July 16, 1893",1893,"07-16","July 16, 1893 :  27.9 ° C"
"2121",26.8,"July 17, 1893",1893,"07-17","July 17, 1893 :  26.8 ° C"
"2122",26.3,"July 18, 1893",1893,"07-18","July 18, 1893 :  26.3 ° C"
"2123",26.8,"July 19, 1893",1893,"07-19","July 19, 1893 :  26.8 ° C"
"2124",25.4,"July 20, 1893",1893,"07-20","July 20, 1893 :  25.4 ° C"
"2125",24.9,"July 21, 1893",1893,"07-21","July 21, 1893 :  24.9 ° C"
"2126",25.7,"July 22, 1893",1893,"07-22","July 22, 1893 :  25.7 ° C"
"2127",26,"July 23, 1893",1893,"07-23","July 23, 1893 :  26 ° C"
"2128",26.6,"July 24, 1893",1893,"07-24","July 24, 1893 :  26.6 ° C"
"2129",27.8,"July 25, 1893",1893,"07-25","July 25, 1893 :  27.8 ° C"
"2130",21.8,"July 26, 1893",1893,"07-26","July 26, 1893 :  21.8 ° C"
"2131",20.7,"July 27, 1893",1893,"07-27","July 27, 1893 :  20.7 ° C"
"2132",23,"July 28, 1893",1893,"07-28","July 28, 1893 :  23 ° C"
"2133",23.9,"July 29, 1893",1893,"07-29","July 29, 1893 :  23.9 ° C"
"2134",25.3,"July 30, 1893",1893,"07-30","July 30, 1893 :  25.3 ° C"
"2135",25.9,"July 31, 1893",1893,"07-31","July 31, 1893 :  25.9 ° C"
"2136",26.7,"August 01, 1893",1893,"08-01","August 01, 1893 :  26.7 ° C"
"2137",27.1,"August 02, 1893",1893,"08-02","August 02, 1893 :  27.1 ° C"
"2138",23.8,"August 03, 1893",1893,"08-03","August 03, 1893 :  23.8 ° C"
"2139",26.3,"August 04, 1893",1893,"08-04","August 04, 1893 :  26.3 ° C"
"2140",27.7,"August 05, 1893",1893,"08-05","August 05, 1893 :  27.7 ° C"
"2141",27.5,"August 06, 1893",1893,"08-06","August 06, 1893 :  27.5 ° C"
"2142",27.6,"August 07, 1893",1893,"08-07","August 07, 1893 :  27.6 ° C"
"2143",27.6,"August 08, 1893",1893,"08-08","August 08, 1893 :  27.6 ° C"
"2144",27.6,"August 09, 1893",1893,"08-09","August 09, 1893 :  27.6 ° C"
"2145",27.9,"August 10, 1893",1893,"08-10","August 10, 1893 :  27.9 ° C"
"2146",27.7,"August 11, 1893",1893,"08-11","August 11, 1893 :  27.7 ° C"
"2147",27.8,"August 12, 1893",1893,"08-12","August 12, 1893 :  27.8 ° C"
"2148",27.3,"August 13, 1893",1893,"08-13","August 13, 1893 :  27.3 ° C"
"2149",25.8,"August 14, 1893",1893,"08-14","August 14, 1893 :  25.8 ° C"
"2150",26.3,"August 15, 1893",1893,"08-15","August 15, 1893 :  26.3 ° C"
"2151",25.4,"August 16, 1893",1893,"08-16","August 16, 1893 :  25.4 ° C"
"2152",26.6,"August 17, 1893",1893,"08-17","August 17, 1893 :  26.6 ° C"
"2153",25.9,"August 18, 1893",1893,"08-18","August 18, 1893 :  25.9 ° C"
"2154",26,"August 19, 1893",1893,"08-19","August 19, 1893 :  26 ° C"
"2155",22.2,"August 20, 1893",1893,"08-20","August 20, 1893 :  22.2 ° C"
"2156",24,"August 21, 1893",1893,"08-21","August 21, 1893 :  24 ° C"
"2157",26.3,"August 22, 1893",1893,"08-22","August 22, 1893 :  26.3 ° C"
"2158",27,"August 23, 1893",1893,"08-23","August 23, 1893 :  27 ° C"
"2159",26.7,"August 24, 1893",1893,"08-24","August 24, 1893 :  26.7 ° C"
"2160",25.5,"August 25, 1893",1893,"08-25","August 25, 1893 :  25.5 ° C"
"2161",24.3,"August 26, 1893",1893,"08-26","August 26, 1893 :  24.3 ° C"
"2162",24.5,"August 27, 1893",1893,"08-27","August 27, 1893 :  24.5 ° C"
"2163",23.8,"August 28, 1893",1893,"08-28","August 28, 1893 :  23.8 ° C"
"2164",25.7,"August 29, 1893",1893,"08-29","August 29, 1893 :  25.7 ° C"
"2165",25.8,"August 30, 1893",1893,"08-30","August 30, 1893 :  25.8 ° C"
"2166",26.4,"August 31, 1893",1893,"08-31","August 31, 1893 :  26.4 ° C"
"2167",24.6,"September 01, 1893",1893,"09-01","September 01, 1893 :  24.6 ° C"
"2168",24.7,"September 02, 1893",1893,"09-02","September 02, 1893 :  24.7 ° C"
"2169",26.2,"September 03, 1893",1893,"09-03","September 03, 1893 :  26.2 ° C"
"2170",27.2,"September 04, 1893",1893,"09-04","September 04, 1893 :  27.2 ° C"
"2171",24.3,"September 05, 1893",1893,"09-05","September 05, 1893 :  24.3 ° C"
"2172",23.4,"September 06, 1893",1893,"09-06","September 06, 1893 :  23.4 ° C"
"2173",24.5,"September 07, 1893",1893,"09-07","September 07, 1893 :  24.5 ° C"
"2174",24.9,"September 08, 1893",1893,"09-08","September 08, 1893 :  24.9 ° C"
"2175",24.8,"September 09, 1893",1893,"09-09","September 09, 1893 :  24.8 ° C"
"2176",25.3,"September 10, 1893",1893,"09-10","September 10, 1893 :  25.3 ° C"
"2177",25.6,"September 11, 1893",1893,"09-11","September 11, 1893 :  25.6 ° C"
"2178",24.9,"September 12, 1893",1893,"09-12","September 12, 1893 :  24.9 ° C"
"2179",20.1,"September 13, 1893",1893,"09-13","September 13, 1893 :  20.1 ° C"
"2180",20.4,"September 14, 1893",1893,"09-14","September 14, 1893 :  20.4 ° C"
"2181",21,"September 15, 1893",1893,"09-15","September 15, 1893 :  21 ° C"
"2182",20.7,"September 16, 1893",1893,"09-16","September 16, 1893 :  20.7 ° C"
"2183",17.4,"September 17, 1893",1893,"09-17","September 17, 1893 :  17.4 ° C"
"2184",18.8,"September 18, 1893",1893,"09-18","September 18, 1893 :  18.8 ° C"
"2185",23,"September 19, 1893",1893,"09-19","September 19, 1893 :  23 ° C"
"2186",20.5,"September 20, 1893",1893,"09-20","September 20, 1893 :  20.5 ° C"
"2187",20,"September 21, 1893",1893,"09-21","September 21, 1893 :  20 ° C"
"2188",20.6,"September 22, 1893",1893,"09-22","September 22, 1893 :  20.6 ° C"
"2189",21.6,"September 23, 1893",1893,"09-23","September 23, 1893 :  21.6 ° C"
"2190",21.6,"September 24, 1893",1893,"09-24","September 24, 1893 :  21.6 ° C"
"2191",23,"September 25, 1893",1893,"09-25","September 25, 1893 :  23 ° C"
"2192",22.1,"September 26, 1893",1893,"09-26","September 26, 1893 :  22.1 ° C"
"2193",20,"September 27, 1893",1893,"09-27","September 27, 1893 :  20 ° C"
"2194",22.6,"September 28, 1893",1893,"09-28","September 28, 1893 :  22.6 ° C"
"2195",21.4,"September 29, 1893",1893,"09-29","September 29, 1893 :  21.4 ° C"
"2196",18.3,"September 30, 1893",1893,"09-30","September 30, 1893 :  18.3 ° C"
"2197",21.4,"June 01, 1894",1894,"06-01","June 01, 1894 :  21.4 ° C"
"2198",21.8,"June 02, 1894",1894,"06-02","June 02, 1894 :  21.8 ° C"
"2199",19.4,"June 03, 1894",1894,"06-03","June 03, 1894 :  19.4 ° C"
"2200",20.2,"June 04, 1894",1894,"06-04","June 04, 1894 :  20.2 ° C"
"2201",20.1,"June 05, 1894",1894,"06-05","June 05, 1894 :  20.1 ° C"
"2202",21,"June 06, 1894",1894,"06-06","June 06, 1894 :  21 ° C"
"2203",21.2,"June 07, 1894",1894,"06-07","June 07, 1894 :  21.2 ° C"
"2204",19.2,"June 08, 1894",1894,"06-08","June 08, 1894 :  19.2 ° C"
"2205",21.3,"June 09, 1894",1894,"06-09","June 09, 1894 :  21.3 ° C"
"2206",23.7,"June 10, 1894",1894,"06-10","June 10, 1894 :  23.7 ° C"
"2207",25.1,"June 11, 1894",1894,"06-11","June 11, 1894 :  25.1 ° C"
"2208",19.7,"June 12, 1894",1894,"06-12","June 12, 1894 :  19.7 ° C"
"2209",21.4,"June 13, 1894",1894,"06-13","June 13, 1894 :  21.4 ° C"
"2210",23.2,"June 14, 1894",1894,"06-14","June 14, 1894 :  23.2 ° C"
"2211",24.5,"June 15, 1894",1894,"06-15","June 15, 1894 :  24.5 ° C"
"2212",27.3,"June 16, 1894",1894,"06-16","June 16, 1894 :  27.3 ° C"
"2213",25.8,"June 17, 1894",1894,"06-17","June 17, 1894 :  25.8 ° C"
"2214",25.5,"June 18, 1894",1894,"06-18","June 18, 1894 :  25.5 ° C"
"2215",25.6,"June 19, 1894",1894,"06-19","June 19, 1894 :  25.6 ° C"
"2216",25.9,"June 20, 1894",1894,"06-20","June 20, 1894 :  25.9 ° C"
"2217",25.2,"June 21, 1894",1894,"06-21","June 21, 1894 :  25.2 ° C"
"2218",24.3,"June 22, 1894",1894,"06-22","June 22, 1894 :  24.3 ° C"
"2219",23.9,"June 23, 1894",1894,"06-23","June 23, 1894 :  23.9 ° C"
"2220",25.7,"June 24, 1894",1894,"06-24","June 24, 1894 :  25.7 ° C"
"2221",25.4,"June 25, 1894",1894,"06-25","June 25, 1894 :  25.4 ° C"
"2222",25.4,"June 26, 1894",1894,"06-26","June 26, 1894 :  25.4 ° C"
"2223",25.7,"June 27, 1894",1894,"06-27","June 27, 1894 :  25.7 ° C"
"2224",26,"June 28, 1894",1894,"06-28","June 28, 1894 :  26 ° C"
"2225",26.9,"June 29, 1894",1894,"06-29","June 29, 1894 :  26.9 ° C"
"2226",26.7,"June 30, 1894",1894,"06-30","June 30, 1894 :  26.7 ° C"
"2227",26.8,"July 01, 1894",1894,"07-01","July 01, 1894 :  26.8 ° C"
"2228",26.3,"July 02, 1894",1894,"07-02","July 02, 1894 :  26.3 ° C"
"2229",26.2,"July 03, 1894",1894,"07-03","July 03, 1894 :  26.2 ° C"
"2230",27.1,"July 04, 1894",1894,"07-04","July 04, 1894 :  27.1 ° C"
"2231",27.3,"July 05, 1894",1894,"07-05","July 05, 1894 :  27.3 ° C"
"2232",24.9,"July 06, 1894",1894,"07-06","July 06, 1894 :  24.9 ° C"
"2233",21,"July 07, 1894",1894,"07-07","July 07, 1894 :  21 ° C"
"2234",23.5,"July 08, 1894",1894,"07-08","July 08, 1894 :  23.5 ° C"
"2235",25,"July 09, 1894",1894,"07-09","July 09, 1894 :  25 ° C"
"2236",26.6,"July 10, 1894",1894,"07-10","July 10, 1894 :  26.6 ° C"
"2237",26.5,"July 11, 1894",1894,"07-11","July 11, 1894 :  26.5 ° C"
"2238",25.9,"July 12, 1894",1894,"07-12","July 12, 1894 :  25.9 ° C"
"2239",25.9,"July 13, 1894",1894,"07-13","July 13, 1894 :  25.9 ° C"
"2240",25.7,"July 14, 1894",1894,"07-14","July 14, 1894 :  25.7 ° C"
"2241",26.7,"July 15, 1894",1894,"07-15","July 15, 1894 :  26.7 ° C"
"2242",26.9,"July 16, 1894",1894,"07-16","July 16, 1894 :  26.9 ° C"
"2243",27.7,"July 17, 1894",1894,"07-17","July 17, 1894 :  27.7 ° C"
"2244",28.7,"July 18, 1894",1894,"07-18","July 18, 1894 :  28.7 ° C"
"2245",29,"July 19, 1894",1894,"07-19","July 19, 1894 :  29 ° C"
"2246",28.2,"July 20, 1894",1894,"07-20","July 20, 1894 :  28.2 ° C"
"2247",26.9,"July 21, 1894",1894,"07-21","July 21, 1894 :  26.9 ° C"
"2248",27.6,"July 22, 1894",1894,"07-22","July 22, 1894 :  27.6 ° C"
"2249",28.4,"July 23, 1894",1894,"07-23","July 23, 1894 :  28.4 ° C"
"2250",28.4,"July 24, 1894",1894,"07-24","July 24, 1894 :  28.4 ° C"
"2251",27.6,"July 25, 1894",1894,"07-25","July 25, 1894 :  27.6 ° C"
"2252",28.6,"July 26, 1894",1894,"07-26","July 26, 1894 :  28.6 ° C"
"2253",26.8,"July 27, 1894",1894,"07-27","July 27, 1894 :  26.8 ° C"
"2254",26.9,"July 28, 1894",1894,"07-28","July 28, 1894 :  26.9 ° C"
"2255",27.7,"July 29, 1894",1894,"07-29","July 29, 1894 :  27.7 ° C"
"2256",28.2,"July 30, 1894",1894,"07-30","July 30, 1894 :  28.2 ° C"
"2257",28.5,"July 31, 1894",1894,"07-31","July 31, 1894 :  28.5 ° C"
"2258",28.5,"August 01, 1894",1894,"08-01","August 01, 1894 :  28.5 ° C"
"2259",28.8,"August 02, 1894",1894,"08-02","August 02, 1894 :  28.8 ° C"
"2260",30,"August 03, 1894",1894,"08-03","August 03, 1894 :  30 ° C"
"2261",28.8,"August 04, 1894",1894,"08-04","August 04, 1894 :  28.8 ° C"
"2262",28.8,"August 05, 1894",1894,"08-05","August 05, 1894 :  28.8 ° C"
"2263",27.9,"August 06, 1894",1894,"08-06","August 06, 1894 :  27.9 ° C"
"2264",28.1,"August 07, 1894",1894,"08-07","August 07, 1894 :  28.1 ° C"
"2265",28.6,"August 08, 1894",1894,"08-08","August 08, 1894 :  28.6 ° C"
"2266",26.9,"August 09, 1894",1894,"08-09","August 09, 1894 :  26.9 ° C"
"2267",25,"August 10, 1894",1894,"08-10","August 10, 1894 :  25 ° C"
"2268",26,"August 11, 1894",1894,"08-11","August 11, 1894 :  26 ° C"
"2269",27.2,"August 12, 1894",1894,"08-12","August 12, 1894 :  27.2 ° C"
"2270",27,"August 13, 1894",1894,"08-13","August 13, 1894 :  27 ° C"
"2271",25.9,"August 14, 1894",1894,"08-14","August 14, 1894 :  25.9 ° C"
"2272",26.2,"August 15, 1894",1894,"08-15","August 15, 1894 :  26.2 ° C"
"2273",26.7,"August 16, 1894",1894,"08-16","August 16, 1894 :  26.7 ° C"
"2274",27.6,"August 17, 1894",1894,"08-17","August 17, 1894 :  27.6 ° C"
"2275",24.9,"August 18, 1894",1894,"08-18","August 18, 1894 :  24.9 ° C"
"2276",22.3,"August 19, 1894",1894,"08-19","August 19, 1894 :  22.3 ° C"
"2277",23.7,"August 20, 1894",1894,"08-20","August 20, 1894 :  23.7 ° C"
"2278",27,"August 21, 1894",1894,"08-21","August 21, 1894 :  27 ° C"
"2279",26.8,"August 22, 1894",1894,"08-22","August 22, 1894 :  26.8 ° C"
"2280",27,"August 23, 1894",1894,"08-23","August 23, 1894 :  27 ° C"
"2281",26.3,"August 24, 1894",1894,"08-24","August 24, 1894 :  26.3 ° C"
"2282",28.1,"August 25, 1894",1894,"08-25","August 25, 1894 :  28.1 ° C"
"2283",27.4,"August 26, 1894",1894,"08-26","August 26, 1894 :  27.4 ° C"
"2284",26.6,"August 27, 1894",1894,"08-27","August 27, 1894 :  26.6 ° C"
"2285",26.6,"August 28, 1894",1894,"08-28","August 28, 1894 :  26.6 ° C"
"2286",27.4,"August 29, 1894",1894,"08-29","August 29, 1894 :  27.4 ° C"
"2287",27.3,"August 30, 1894",1894,"08-30","August 30, 1894 :  27.3 ° C"
"2288",27.9,"August 31, 1894",1894,"08-31","August 31, 1894 :  27.9 ° C"
"2289",28.7,"September 01, 1894",1894,"09-01","September 01, 1894 :  28.7 ° C"
"2290",25.2,"September 02, 1894",1894,"09-02","September 02, 1894 :  25.2 ° C"
"2291",21.2,"September 03, 1894",1894,"09-03","September 03, 1894 :  21.2 ° C"
"2292",21,"September 04, 1894",1894,"09-04","September 04, 1894 :  21 ° C"
"2293",23.3,"September 05, 1894",1894,"09-05","September 05, 1894 :  23.3 ° C"
"2294",23.9,"September 06, 1894",1894,"09-06","September 06, 1894 :  23.9 ° C"
"2295",21.9,"September 07, 1894",1894,"09-07","September 07, 1894 :  21.9 ° C"
"2296",22.3,"September 08, 1894",1894,"09-08","September 08, 1894 :  22.3 ° C"
"2297",22.1,"September 09, 1894",1894,"09-09","September 09, 1894 :  22.1 ° C"
"2298",23.7,"September 10, 1894",1894,"09-10","September 10, 1894 :  23.7 ° C"
"2299",24.9,"September 11, 1894",1894,"09-11","September 11, 1894 :  24.9 ° C"
"2300",26.6,"September 12, 1894",1894,"09-12","September 12, 1894 :  26.6 ° C"
"2301",23.9,"September 13, 1894",1894,"09-13","September 13, 1894 :  23.9 ° C"
"2302",21.8,"September 14, 1894",1894,"09-14","September 14, 1894 :  21.8 ° C"
"2303",20.4,"September 15, 1894",1894,"09-15","September 15, 1894 :  20.4 ° C"
"2304",21.5,"September 16, 1894",1894,"09-16","September 16, 1894 :  21.5 ° C"
"2305",21.7,"September 17, 1894",1894,"09-17","September 17, 1894 :  21.7 ° C"
"2306",21.5,"September 18, 1894",1894,"09-18","September 18, 1894 :  21.5 ° C"
"2307",22.3,"September 19, 1894",1894,"09-19","September 19, 1894 :  22.3 ° C"
"2308",21.8,"September 20, 1894",1894,"09-20","September 20, 1894 :  21.8 ° C"
"2309",20.7,"September 21, 1894",1894,"09-21","September 21, 1894 :  20.7 ° C"
"2310",19.8,"September 22, 1894",1894,"09-22","September 22, 1894 :  19.8 ° C"
"2311",18.7,"September 23, 1894",1894,"09-23","September 23, 1894 :  18.7 ° C"
"2312",18.7,"September 24, 1894",1894,"09-24","September 24, 1894 :  18.7 ° C"
"2313",20.1,"September 25, 1894",1894,"09-25","September 25, 1894 :  20.1 ° C"
"2314",22.7,"September 26, 1894",1894,"09-26","September 26, 1894 :  22.7 ° C"
"2315",22.2,"September 27, 1894",1894,"09-27","September 27, 1894 :  22.2 ° C"
"2316",20.3,"September 28, 1894",1894,"09-28","September 28, 1894 :  20.3 ° C"
"2317",17.3,"September 29, 1894",1894,"09-29","September 29, 1894 :  17.3 ° C"
"2318",16.8,"September 30, 1894",1894,"09-30","September 30, 1894 :  16.8 ° C"
"2319",19.4,"June 01, 1895",1895,"06-01","June 01, 1895 :  19.4 ° C"
"2320",19.9,"June 02, 1895",1895,"06-02","June 02, 1895 :  19.9 ° C"
"2321",19.9,"June 03, 1895",1895,"06-03","June 03, 1895 :  19.9 ° C"
"2322",19.2,"June 04, 1895",1895,"06-04","June 04, 1895 :  19.2 ° C"
"2323",17.9,"June 05, 1895",1895,"06-05","June 05, 1895 :  17.9 ° C"
"2324",19.8,"June 06, 1895",1895,"06-06","June 06, 1895 :  19.8 ° C"
"2325",20.4,"June 07, 1895",1895,"06-07","June 07, 1895 :  20.4 ° C"
"2326",16.3,"June 08, 1895",1895,"06-08","June 08, 1895 :  16.3 ° C"
"2327",19.2,"June 09, 1895",1895,"06-09","June 09, 1895 :  19.2 ° C"
"2328",21.8,"June 10, 1895",1895,"06-10","June 10, 1895 :  21.8 ° C"
"2329",21.5,"June 11, 1895",1895,"06-11","June 11, 1895 :  21.5 ° C"
"2330",21.3,"June 12, 1895",1895,"06-12","June 12, 1895 :  21.3 ° C"
"2331",22,"June 13, 1895",1895,"06-13","June 13, 1895 :  22 ° C"
"2332",22.3,"June 14, 1895",1895,"06-14","June 14, 1895 :  22.3 ° C"
"2333",21.2,"June 15, 1895",1895,"06-15","June 15, 1895 :  21.2 ° C"
"2334",20.9,"June 16, 1895",1895,"06-16","June 16, 1895 :  20.9 ° C"
"2335",21.4,"June 17, 1895",1895,"06-17","June 17, 1895 :  21.4 ° C"
"2336",21.4,"June 18, 1895",1895,"06-18","June 18, 1895 :  21.4 ° C"
"2337",21.7,"June 19, 1895",1895,"06-19","June 19, 1895 :  21.7 ° C"
"2338",25.6,"June 20, 1895",1895,"06-20","June 20, 1895 :  25.6 ° C"
"2339",23.2,"June 21, 1895",1895,"06-21","June 21, 1895 :  23.2 ° C"
"2340",22,"June 22, 1895",1895,"06-22","June 22, 1895 :  22 ° C"
"2341",19.1,"June 23, 1895",1895,"06-23","June 23, 1895 :  19.1 ° C"
"2342",19.9,"June 24, 1895",1895,"06-24","June 24, 1895 :  19.9 ° C"
"2343",18.3,"June 25, 1895",1895,"06-25","June 25, 1895 :  18.3 ° C"
"2344",18.4,"June 26, 1895",1895,"06-26","June 26, 1895 :  18.4 ° C"
"2345",17.6,"June 27, 1895",1895,"06-27","June 27, 1895 :  17.6 ° C"
"2346",21,"June 28, 1895",1895,"06-28","June 28, 1895 :  21 ° C"
"2347",21.4,"June 29, 1895",1895,"06-29","June 29, 1895 :  21.4 ° C"
"2348",18.9,"June 30, 1895",1895,"06-30","June 30, 1895 :  18.9 ° C"
"2349",18,"July 01, 1895",1895,"07-01","July 01, 1895 :  18 ° C"
"2350",17.1,"July 02, 1895",1895,"07-02","July 02, 1895 :  17.1 ° C"
"2351",20.1,"July 03, 1895",1895,"07-03","July 03, 1895 :  20.1 ° C"
"2352",23.5,"July 04, 1895",1895,"07-04","July 04, 1895 :  23.5 ° C"
"2353",22,"July 05, 1895",1895,"07-05","July 05, 1895 :  22 ° C"
"2354",24.5,"July 06, 1895",1895,"07-06","July 06, 1895 :  24.5 ° C"
"2355",24.2,"July 07, 1895",1895,"07-07","July 07, 1895 :  24.2 ° C"
"2356",20.6,"July 08, 1895",1895,"07-08","July 08, 1895 :  20.6 ° C"
"2357",21.3,"July 09, 1895",1895,"07-09","July 09, 1895 :  21.3 ° C"
"2358",19.2,"July 10, 1895",1895,"07-10","July 10, 1895 :  19.2 ° C"
"2359",17.7,"July 11, 1895",1895,"07-11","July 11, 1895 :  17.7 ° C"
"2360",18.1,"July 12, 1895",1895,"07-12","July 12, 1895 :  18.1 ° C"
"2361",20.1,"July 13, 1895",1895,"07-13","July 13, 1895 :  20.1 ° C"
"2362",20.3,"July 14, 1895",1895,"07-14","July 14, 1895 :  20.3 ° C"
"2363",19.5,"July 15, 1895",1895,"07-15","July 15, 1895 :  19.5 ° C"
"2364",21.3,"July 16, 1895",1895,"07-16","July 16, 1895 :  21.3 ° C"
"2365",22.7,"July 17, 1895",1895,"07-17","July 17, 1895 :  22.7 ° C"
"2366",24.7,"July 18, 1895",1895,"07-18","July 18, 1895 :  24.7 ° C"
"2367",22.1,"July 19, 1895",1895,"07-19","July 19, 1895 :  22.1 ° C"
"2368",21.8,"July 20, 1895",1895,"07-20","July 20, 1895 :  21.8 ° C"
"2369",24.3,"July 21, 1895",1895,"07-21","July 21, 1895 :  24.3 ° C"
"2370",21.8,"July 22, 1895",1895,"07-22","July 22, 1895 :  21.8 ° C"
"2371",25.8,"July 23, 1895",1895,"07-23","July 23, 1895 :  25.8 ° C"
"2372",24.4,"July 24, 1895",1895,"07-24","July 24, 1895 :  24.4 ° C"
"2373",25.6,"July 25, 1895",1895,"07-25","July 25, 1895 :  25.6 ° C"
"2374",25.1,"July 26, 1895",1895,"07-26","July 26, 1895 :  25.1 ° C"
"2375",23.4,"July 27, 1895",1895,"07-27","July 27, 1895 :  23.4 ° C"
"2376",24.2,"July 28, 1895",1895,"07-28","July 28, 1895 :  24.2 ° C"
"2377",23.2,"July 29, 1895",1895,"07-29","July 29, 1895 :  23.2 ° C"
"2378",23.7,"July 30, 1895",1895,"07-30","July 30, 1895 :  23.7 ° C"
"2379",24,"July 31, 1895",1895,"07-31","July 31, 1895 :  24 ° C"
"2380",23.3,"August 01, 1895",1895,"08-01","August 01, 1895 :  23.3 ° C"
"2381",22.8,"August 02, 1895",1895,"08-02","August 02, 1895 :  22.8 ° C"
"2382",22.8,"August 03, 1895",1895,"08-03","August 03, 1895 :  22.8 ° C"
"2383",23.7,"August 04, 1895",1895,"08-04","August 04, 1895 :  23.7 ° C"
